iter	Logloss
0	0.6484235233
1	0.6078830548
2	0.5702908585
3	0.5401654851
4	0.5181546827
5	0.4891741807
6	0.4726321152
7	0.4554480673
8	0.4403052307
9	0.4288267395
10	0.4184687052
11	0.4110170699
12	0.4025729176
13	0.3950362471
14	0.3877153464
15	0.3808427841
16	0.3746450248
17	0.3677090608
18	0.359026552
19	0.3534358384
20	0.3479624344
21	0.3420659539
22	0.3377525989
23	0.3328568102
24	0.329855565
25	0.3269974915
26	0.3222162198
27	0.3182850052
28	0.3142597519
29	0.3077619786
30	0.304501875
31	0.3021973541
32	0.2988978646
33	0.2950602614
34	0.2912648381
35	0.2898460601
36	0.2869299413
37	0.2831853926
38	0.280897044
39	0.2768848274
40	0.2740654728
41	0.271273688
42	0.2678610131
43	0.2641608369
44	0.2611979384
45	0.2584980984
46	0.2553812116
47	0.2538062411
48	0.2521738757
49	0.2489336035
50	0.2454282737
51	0.2420475815
52	0.2399632412
53	0.2380011319
54	0.2356279389
55	0.2339731332
56	0.2318026085
57	0.2301189851
58	0.2281471255
59	0.2257593093
60	0.2245040826
61	0.2219127572
62	0.2207071665
63	0.2178972294
64	0.2158827366
65	0.2140947016
66	0.2119688027
67	0.210169052
68	0.2081034018
69	0.2050286915
70	0.2024184726
71	0.1997310248
72	0.1975508727
73	0.1951351191
74	0.1933642236
75	0.1917146198
76	0.1887844874
77	0.1872955301
78	0.1859185859
79	0.1842156179
80	0.1822476427
81	0.1805188532
82	0.1776944672
83	0.175450296
84	0.1728331209
85	0.170950202
86	0.1691860625
87	0.1676194384
88	0.1657274288
89	0.1637455137
90	0.1614825644
91	0.159639361
92	0.157905049
93	0.1554715803
94	0.1534774465
95	0.1510188169
96	0.1492126874
97	0.1475344031
98	0.1454883229
99	0.1432818569
100	0.1414138253
101	0.139499035
102	0.1377026011
103	0.1364332098
104	0.1362404628
105	0.1359172671
106	0.1352024267
107	0.1333599078
108	0.1320913965
109	0.1307096164
110	0.1288240544
111	0.1273798709
112	0.1261302987
113	0.1247220332
114	0.1228850468
115	0.1215629034
116	0.1199049436
117	0.1185390548
118	0.1168260959
119	0.1154312581
120	0.1142250914
121	0.1124608517
122	0.1111206391
123	0.109593938
124	0.1080098698
125	0.1067972243
126	0.1054690233
127	0.1047153176
128	0.1038171345
129	0.102712505
130	0.101269814
131	0.1004389017
132	0.09927636972
133	0.09786772863
134	0.09703077515
135	0.09559265198
136	0.09495777242
137	0.09412052371
138	0.0930691089
139	0.09226932587
140	0.09112517626
141	0.09009013304
142	0.08915666916
143	0.08855578521
144	0.08746687991
145	0.08654324723
146	0.08585584389
147	0.0851721545
148	0.08430468207
149	0.08353393068
150	0.08294331622
151	0.08203927621
152	0.08126435522
153	0.0802430002
154	0.0797323079
155	0.07896690671
156	0.07830265728
157	0.07740406114
158	0.07659762239
159	0.07584418097
160	0.07517819295
161	0.0745992928
162	0.07371139459
163	0.07303868459
164	0.07220809698
165	0.07193265786
166	0.07150297196
167	0.07067877224
168	0.07030960957
169	0.06978100706
170	0.06940991353
171	0.06881730473
172	0.06847922074
173	0.06799639502
174	0.06762584127
175	0.06714679758
176	0.06666031025
177	0.06635873903
178	0.06581997807
179	0.06528240244
180	0.0647510761
181	0.0643392298
182	0.06388809371
183	0.06350494565
184	0.06298738556
185	0.06259054617
186	0.06204710544
187	0.06162156948
188	0.06133535098
189	0.06088768241
190	0.06052092021
191	0.06024912809
192	0.05985283671
