NN	время	маркер
1	0:02:58	ds1
2	0:04:22	ds2
3	0:05:43	ds1
4	0:08:16	ds2
5	0:24:35	ds1
6	0:25:01	ds2
7	0:25:11	ds1
8	0:29:32	ds2
9	0:29:34	is1
10	0:29:51	is2
11	0:33:23	ds1
12	0:37:26	ds2
13	0:37:35	ds1
14	0:38:08	ds2
15	0:38:37	ds1
16	0:39:16	ds2
17	0:40:37	ds1
18	0:41:59	ds2
19	0:42:02	is1
20	0:42:12	is2
21	0:43:01	ds1
22	0:43:56	ds2
23	0:44:34	ds1
24	0:45:18	ds2
25	0:46:13	ds1
26	0:46:38	ds2
27	0:47:14	ds1
28	0:47:54	ds2
29	0:47:55	is1
30	0:11:00	is2
31	1:07:01	ds1
32	1:07:55	ds2
33	1:08:18	ds1
34	1:09:56	ds2
35	1:10:09	ds1
36	1:13:00	ds2
37	1:15:31	ds1
38	1:18:48	ds2
39	1:20:49	ds1
40	1:21:36	ds2
41	1:33:37	ds1
42	1:35:46	ds2
43	1:36:19	ds1
44	1:38:29	ds2
45	1:38:49	ds1
46	1:41:29	ds2
47	1:41:29	is1
48	1:41:39	is2
49	1:49:42	ds1
50	1:51:54	ds2
51	1:52:29	ds1
52	1:54:29	ds2
53	1:54:45	ds1
54	1:56:10	ds2
55	1:56:55	ds1
56	1:58:07	ds2
57	2:00:32	ds1
58	2:03:23	ds2
59	2:03:30	ds1
60	2:06:10	ds2
61	2:06:42	ds1
62	2:08:12	ds2
63	2:09:14	ds1
64	2:10:11	ds2
65	2:10:12	is1
66	2:10:29	is2
67	2:12:11	ds1
68	2:16:50	ds2
69	2:17:51	ds1
70	2:20:44	ds2
71	2:24:08	ds1
72	2:27:05	ds2
73	2:27:23	ds1
74	2:28:10	ds2
75	2:28:27	ds1
76	2:28:56	ds2
77	2:29:21	ds1
78	2:31:12	ds2
79	2:31:25	is1
80	2:31:35	is2
81	2:31:46	ds1
82	2:32:11	ds2
83	2:32:15	is1
84	2:32:42	is2
85	2:35:07	ds1
86	2:36:09	ds2
87	3:01:51	ds1
88	3:07:28	ds2
89	3:07:48	ds1
90	3:09:53	ds2
91	3:10:09	ds1
92	3:14:10	ds2
93	3:15:06	ds1
94	3:16:02	ds2
95	3:18:21	ds1
96	3:20:22	ds2
97	3:20:23	is1
98	3:20:32	is2
99	3:21:15	ds1
100	3:23:19	ds2
101	3:29:41	ds1
102	3:36:20	ds2
103	3:37:06	ds1
104	3:44:39	ds2
105	3:47:25	ds1
106	3:49:20	ds2
107	3:49:40	ds1
108	3:52:33	ds2
109	3:52:40	is1
110	3:52:49	is2
111	3:54:02	ds1
112	3:54:50	ds2
113	3:56:23	ds1
114	3:59:05	ds2
115	4:01:20	is1
116	4:01:28	is2
117	4:22:04	ds1
118	4:34:57	ds2
119	4:35:44	ds1
120	4:37:52	ds2
121	4:49:14	ds1
122	4:56:44	ds2
123	4:57:29	ds1
124	4:59:00	ds2
125	5:00:59	ds1
126	5:02:11	ds2
127	5:04:48	ds1
128	5:10:02	ds2
129	5:10:03	is1
130	5:10:11	is2
131	5:10:31	ds1
132	5:11:28	ds2
133	5:11:30	is1
134	5:11:38	is2
135	5:15:13	ds1
136	5:21:57	ds2
137	5:25:09	ds1
138	5:33:59	ds2
