NN	время	маркер
1	0:36:49	swd1
2	0:36:54	swd2
3	0:38:19	swd1
4	0:38:22	swd2
5	0:38:30	swd1
6	0:38:35	swd2
7	0:41:10	ds1
8	0:45:26	ds2
9	0:46:02	ds1
10	0:49:29	ds2
11	0:55:13	ds1
12	1:01:35	ds2
13	1:09:25	swd1
14	1:09:28	swd2
15	1:12:22	ds1
16	1:14:51	ds2
17	1:15:02	ds1
18	1:19:20	ds2
19	1:19:47	ds1
20	1:20:45	ds2
21	1:23:06	swd1
22	1:23:09	swd2
23	1:24:17	ds1
24	1:28:54	ds2
25	1:29:30	ds1
26	1:31:39	ds2
27	1:38:19	ds1
28	1:39:45	ds2
29	1:44:57	swd1
30	1:45:07	swd2
31	1:55:59	swd1
32	1:56:10	swd2
33	1:59:02	swd1
34	1:59:06	swd2
35	2:06:51	swd1
36	2:06:59	swd2
37	2:13:02	swd1
38	2:13:08	swd2
39	2:13:49	swd1
40	2:14:04	swd2
41	2:14:26	swd1
42	2:14:29	swd2
43	2:14:34	swd1
44	2:14:36	swd2
45	2:14:49	swd1
46	2:14:49	swd2
47	2:14:52	swd2
48	2:15:33	ds1
49	2:18:06	ds2
50	2:19:28	ds1
51	2:22:09	ds2
52	2:22:32	ds1
53	2:23:00	ds2
54	2:26:52	swd1
55	2:27:02	swd2
56	2:27:26	swd1
57	2:27:37	swd2
58	2:28:17	swd1
59	2:28:21	swd2
60	2:28:27	swd1
61	2:28:32	swd2
62	2:29:11	swd1
63	2:29:14	swd2
64	2:30:24	swd1
65	2:30:27	swd2
66	2:31:15	swd1
67	2:31:17	swd2
68	2:32:34	ds1
69	2:34:00	ds2
70	2:39:56	swd1
71	2:39:58	swd2
72	2:40:44	ds1
73	2:42:28	ds2
74	2:44:32	ds1
75	2:45:17	ds2
76	2:46:43	swd1
77	2:46:49	swd2
78	2:47:58	ds1
79	2:50:22	ds2
80	2:50:29	ds1
81	2:50:58	ds2
82	2:51:43	ds1
83	2:52:07	ds2
84	2:54:48	swd1
85	2:54:52	swd2
86	3:01:27	ds1
87	3:05:24	ds2
88	3:05:40	ds1
89	3:08:15	ds2
90	3:08:25	is1
91	3:08:40	is2
92	3:09:01	swd1
93	3:09:04	swd2
94	3:09:31	ds1
95	3:10:06	ds2
96	3:10:41	is1
97	3:10:52	is2
98	3:10:56	swd1
99	3:10:58	swd2
100	3:11:35	is1
101	3:12:01	is2
102	3:15:41	swd1
103	3:15:44	swd2
104	3:15:49	swd1
